Country,Hip hop/Rap/R&b,EDM,Pop,Rock/Metal,Latin/Reggaeton,Other
australia,0.22794117647058823,0.11029411764705882,0.47794117647058826,0.125,0.0,0.058823529411764705
canada,0.2805755395683453,0.08633093525179857,0.460431654676259,0.10071942446043165,0.0,0.07194244604316546
china,0.0658682634730539,0.1377245508982036,0.6467065868263473,0.023952095808383235,0.0,0.12574850299401197
india,0.20833333333333334,0.008333333333333333,0.325,0.0,0.0,0.4583333333333333
mexico,0.24050632911392406,0.0,0.11392405063291139,0.012658227848101266,0.36075949367088606,0.2721518987341772
russia,0.25961538461538464,0.08653846153846154,0.46153846153846156,0.08653846153846154,0.019230769230769232,0.08653846153846154
usa,0.3858267716535433,0.015748031496062992,0.25984251968503935,0.10236220472440945,0.14960629921259844,0.08661417322834646
colombia,0.3105590062111801,0.0,0.13664596273291926,0.0,0.5341614906832298,0.018633540372670808
france,0.3533834586466165,0.045112781954887216,0.37593984962406013,0.05263157894736842,0.007518796992481203,0.16541353383458646
italy,0.47,0.07,0.35,0.02,0.0,0.09
japan,0.0,0.010309278350515464,0.6494845360824743,0.16494845360824742,0.0,0.17525773195876287
philippines,0.2692307692307692,0.0,0.44871794871794873,0.038461538461538464,0.0,0.24358974358974358
spain,0.4090909090909091,0.0,0.16666666666666666,0.0,0.2878787878787879,0.13636363636363635
united_kingdom,0.19480519480519481,0.16233766233766234,0.461038961038961,0.11038961038961038,0.0,0.07142857142857142
puerto_rico,0.36574074074074076,0.0023148148148148147,0.09259259259259259,0.0,0.5069444444444444,0.032407407407407406
argentina,0.4609375,0.0,0.2265625,0.0,0.25,0.0625
germany,0.3761467889908257,0.1651376146788991,0.30275229357798167,0.027522935779816515,0.01834862385321101,0.11009174311926606
israel,0.22448979591836735,0.0,0.5102040816326531,0.10204081632653061,0.0,0.16326530612244897
paraguay,0.3691275167785235,0.0,0.1476510067114094,0.0,0.4429530201342282,0.040268456375838924
south_korea,0.22916666666666666,0.0,0.7291666666666666,0.020833333333333332,0.0,0.020833333333333332
taiwan,0.03488372093023256,0.0,0.6976744186046512,0.023255813953488372,0.0,0.2441860465116279
ukraine,0.3194444444444444,0.0,0.3611111111111111,0.1111111111111111,0.0,0.20833333333333334
chile,0.3357664233576642,0.0,0.10218978102189781,0.0,0.3357664233576642,0.22627737226277372
dominican_republic,0.34415584415584416,0.0,0.08441558441558442,0.0,0.538961038961039,0.032467532467532464
indonesia,0.08928571428571429,0.0,0.5714285714285714,0.0,0.0,0.3392857142857143
peru,0.3270440251572327,0.0,0.15723270440251572,0.012578616352201259,0.4528301886792453,0.050314465408805034
thailand,0.14,0.0,0.76,0.08,0.0,0.02
turkey,0.6046511627906976,0.0,0.18604651162790697,0.046511627906976744,0.0,0.16279069767441862
venezuela,0.3237410071942446,0.0,0.17985611510791366,0.0,0.45323741007194246,0.04316546762589928
denmark,0.2222222222222222,0.1111111111111111,0.5,0.09722222222222222,0.0,0.06944444444444445
egypt,0.5842696629213483,0.0,0.29213483146067415,0.056179775280898875,0.0,0.06741573033707865
hong_kong,0.024691358024691357,0.0,0.9135802469135802,0.012345679012345678,0.0,0.04938271604938271
ireland,0.1568627450980392,0.20261437908496732,0.5163398692810458,0.058823529411764705,0.0,0.06535947712418301
morocco,0.46846846846846846,0.009009009009009009,0.36036036036036034,0.018018018018018018,0.0,0.14414414414414414
netherlands,0.09701492537313433,0.291044776119403,0.4701492537313433,0.05223880597014925,0.0,0.08955223880597014
norway,0.14130434782608695,0.1956521739130435,0.4782608695652174,0.05434782608695652,0.0,0.13043478260869565
